"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","44156","Afghanistan","140","44503","209.714285714286","0.35963511010717","12","1678","10","0.0308258665806145","0.538718715956454","0.0271561205591128","0.0227524253333108","0.253414952738541","0.165998917441396"
"2","44163","Afghanistan","121","45844","191.571428571429","0.310827488021197","12","1752","10.5714285714286","0.0308258665806145","0.492112941483382","-0.00697251744085329","0.0161468824946076","0.247234100232723","0.243200010782404"
"3","44170","Afghanistan","235","47072","175.428571428571","0.603673220537035","18","1864","16","0.0462387998709218","0.450644811440413","0.0418351046451197","0.086972980709591","0.202513814455333","0.222160227833245"
"4","44177","Afghanistan","113","48229","165.285714285714","0.290276910300787","11","1956","13.1428571428571","0.0282570443655633","0.42458961468775","-0.0447709014623211","-0.067890301397782","0.232509128086509","0.203439791035962"
"5","44184","Afghanistan","60","49681","207.428571428571","0.154129332903073","17","2047","13","0.0436699776558706","0.532847122322052","-0.0194496539139592","-0.0855050823009903","0.254258937583796","0.185948004537659"
"6","44191","Afghanistan","76","50886","172.142857142857","0.195230488343892","10","2149","14.5714285714286","0.0256882221505121","0.442204395590959","0.00587159363440277","0.038165358623618","0.1215433757489","0.166929226780565"
"7","44198","Afghanistan","0","51526","91.4285714285714","0","0","2191","6","0","0.234863745376111","-0.0278900697634132","0.0289909935698637","0.0731918057495478","0.138532863822714"
"8","44156","Bangladesh","1847","445281","2112.14285714286","1.12150520352608","28","6350","25.2857142857143","0.01700170313954","1.28250092305152","0.02741090914334","-0.01665472960608","0.621739312879422","0.45942004261418"
"9","44163","Bangladesh","1908","460619","2191.14285714286","1.15854462822294","36","6580","32.8571428571429","0.02185933260798","1.33047001405237","0.00529134638526498","0.00546483315199499","0.656459429321924","0.578974201334014"
"10","44170","Bangladesh","1798","475789","2167.14285714286","1.09175222303189","35","6807","32.4285714285714","0.021252128924425","1.31589712564705","-0.00954177217014997","-0.00772016111948497","0.656588340645349","0.600629442006162"
"11","44177","Bangladesh","1329","489178","1912.71428571429","0.806973695444593","34","7020","30.4285714285714","0.02064492524087","1.16140715987398","-0.0406826467981849","-0.00876108171986499","0.595484373341836","0.594050634713357"
"12","44184","Bangladesh","1267","499560","1483.14285714286","0.769327067064184","25","7242","31.7142857142857","0.015180092088875","0.900569806095428","-0.00537808976862998","0.0437186652159599","0.423995001759014","0.508379669743664"
"13","44191","Bangladesh","834","508099","1219.85714285714","0.506407872084869","30","7428","26.5714285714286","0.01821611050665","0.740701750553734","-0.0375598849970449","-0.0241146605754699","0.216789904349478","0.282128616437518"
"14","44198","Bangladesh","684","515184","1012.14285714286","0.415327319551619","23","7599","24.4285714285714","0.013965684721765","0.614576871141024","-0.01301150750475","0.00199509781739498","0.174818876278252","0.23204548793681"
"15","44156","Bhutan","1","379","0.571428571428571","0.129599485749241","0","0","0","0","0.074056848999566","-0.0925710612494575","-0.0925710612494576","0.0825431811875931","0.133729354052449"
"16","44163","Bhutan","1","396","2.42857142857143","0.129599485749241","0","0","0","0","0.314741608248156","0","-0.111085273499349","0.155914897798787","0.0334323385131122"
"17","44170","Bhutan","2","426","4.28571428571429","0.259198971498481","0","0","0","0","0.555426367496745","0.0185142122498915","0.0185142122498915","0.265972472715578","0.142087438680727"
"18","44177","Bhutan","1","437","1.57142857142857","0.129599485749241","0","0","0","0","0.203656334748807","-0.0185142122498915","0.0555426367496745","0.110057574916791","0.250742538848342"
"19","44184","Bhutan","0","443","0.857142857142857","0","0","0","0","0","0.111085273499349","-0.0185142122498915","-0.037028424499783","0.0521576255857073","0.0893809397915107"
"20","44191","Bhutan","21","597","22","2.72158920073405","0","0","0","0","2.85118868648329","0.388798457247722","-0.61096900424642","0.685915016084896","0.0348005610523807"
"21","44198","Bhutan","21","710","16.1428571428571","2.72158920073405","0","0","0","0","2.09210598423774","0","0.703540065495877","0.582769900884159","0.893214400344438"
"22","44156","India","45209","9095806","40175.2857142857","3.27600408313195","501","133228","513.142857142857","0.0363042324680729","2.91124333741053","0.0425360967240695","0.0265113029229355","1.42108378595314","1.43388315395478"
"23","44163","India","41810","9392919","42444.7142857143","3.02970051794437","496","136697","495.571428571429","0.0359419147787708","3.07569416061778","-0.0351862235982264","0.0156417722438718","1.54105013273895","1.31425619730218"
"24","44170","India","36011","9644222","35900.4285714286","2.60948446189176","482","140183","498","0.0349274252487248","2.6014720649912","-0.0600308651503721","-0.0116873334634886","1.31844009965475","1.38849613141357"
"25","44177","India","30254","9857029","30401","2.1923118744293","391","143020","405.285714285714","0.0283332433034262","2.20296401449478","-0.0595960839232095","0.00894407095877251","1.12081408134103","1.17441257471946"
"26","44184","India","26624","10031223","24884.8571428571","1.92926923199595","341","145478","351.142857142857","0.0247100664104049","1.8032447877227","-0.0375775203476204","0.0129295655410958","0.855442803969663","0.951238368305351"
"27","44191","India","18732","10187850","22375.2857142857","1.35738699120148","279","147623","306.428571428571","0.0202173270630586","1.62139236349497","-0.0816974629706391","-0.0518942450420444","0.474406888008498","0.564916737841931"
"28","44198","India","37256","10323965","19445","2.69970156652799","441","149436","259","0.0319564201964474","1.40905349369596","0.191759225046645","0.21492685329402","0.339085335844537","0.507946392516207"
"29","44156","Nepal","1674","218640","1477.14285714286","5.74531019320991","7","1305","12.8571428571429","0.0240245945952625","5.06967975744926","-0.133361014896151","-0.0519715719815882","2.57745258016076","3.68820207734282"
"30","44163","Nepal","1380","230724","1726.28571428571","4.73627722020888","19","1454","21.2857142857143","0.0652096139014267","5.92475920590105","-0.144147567571575","-0.0254954881419112","3.00638032766961","2.28866407487996"
"31","44170","Nepal","1024","239886","1308.85714285714","3.51445498079268","10","1577","17.5714285714286","0.0343208494218035","4.4921088914652","-0.174546034202315","0.0367723386662179","2.31174082717397","2.67468246429878"
"32","44177","Nepal","899","247594","1101.14285714286","3.08544436302014","15","1689","16","0.0514812741327053","3.77921581918945","-0.0612872311103634","0.0505006784349395","1.90248643614769","2.02792458936655"
"33","44184","Nepal","710","253185","798.714285714286","2.43678030894805","12","1777","12.5714285714286","0.0411850193061642","2.74125527310433","-0.0926662934388694","0.0357917429684523","1.32072115274264","1.64519557314658"
"34","44191","Nepal","500","257701","645.142857142857","1.71604247109018","3","1819","6","0.0102962548265411","2.21418508555521","-0.102962548265411","-0.0176507225597847","0.645456734539007","0.858774691610108"
"35","44198","Nepal","419","261439","534","1.43804359077357","6","1870","7.28571428571429","0.0205925096530821","1.83273335912431","-0.0397141257595155","0.0495200827371736","0.521582579179955","0.693655250815819"
"36","44156","Pakistan","2665","374173","2467","1.20647008402374","59","7662","74.4285714285714","0.0267098442616887","1.11683365751841","0.0143573496999877","-0.0294907723567314","0.546138407997095","0.400422656029133"
"37","44163","Pakistan","2829","395185","3001.71428571429","1.28071439688674","43","7985","46.1428571428571","0.0194664966652986","1.35890374727991","0.0106063304089999","-0.00245756436306095","0.667911863079923","0.504185114616631"
"38","44170","Pakistan","3308","416499","3044.85714285714","1.49756211555367","58","8361","53.7142857142857","0.0262571350369144","1.37843491669161","0.0309782455238472","0.026192462290518","0.667495379281954","0.613465610534753"
"39","44177","Pakistan","3369","438425","3132.28571428571","1.5251773782649","72","8796","62.1428571428571","0.0325950641837558","1.41801463748617","0.0039450375301768","0.0291674086247497","0.700493710967119","0.622282791877866"
"40","44184","Pakistan","2615","457288","2694.71428571429","1.18383462278502","80","9330","76.2857142857143","0.0362167379819508","1.21992201527418","-0.048763250782841","-0.0778659866611943","0.583897490769489","0.610047283469651"
"41","44191","Pakistan","1853","471335","2006.71428571429","0.838870193506936","58","9874","77.7142857142857","0.0262571350369144","0.908458068629399","-0.0492806327540117","0.0101536211842255","0.266784423104403","0.382174605456961"
"42","44198","Pakistan","2272","486634","2185.57142857143","1.0285553586874","53","10311","62.4285714285714","0.0239935889130424","0.989428347117618","0.0270978807400668","0.0320130094661887","0.268063489485685","0.284599834748127"
"43","44156","Region","51536","10178782","41575.1428571429","2.8093849484116","607","150223","635.714285714286","0.0330894261038078","2.53168764423751","0.0346080041434036","0.0145160485425978","1.23698903061377","1.23030772430156"
"44","44163","Region","48049","10525687","42701.5714285714","2.61929791575265","606","154468","606.428571428571","0.0330349130459761","2.70155033244091","-0.0271552903798488","0.0118526962885374","1.3517305852032","1.14290898782513"
"45","44170","Region","42378","10823894","36588.5714285714","2.3101543647894","603","158792","617.714285714286","0.0328713738724812","2.32231077668586","-0.0441633644233217","-0.00389378984511746","1.17229042549595","1.21959206264507"
