"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","44282","Bahrain","865","140818","784.571428571429","50.835256","1","513","2.14285714285714","0.058769","46.1085425714286","0.411383571428572","-0.411383571428571","12.5715298954573","32.2968204470245"
"2","44289","Bahrain","1316","147770","993.142857142857","77.340111","4","531","2.57142857142857","0.235076","58.3660935714286","3.78640785714286","1.72949","15.0151599280341","36.0370048915853"
"3","44296","Bahrain","1122","155402","1090.28571428571","65.93891","4","554","3.28571428571429","0.235076","64.0750898571429","-1.628743","-2.73695985714285","18.0754715847805","45.6171260732852"
"4","44303","Bahrain","1024","163113","1101.57142857143","60.17954","7","588","4.85714285714286","0.411384","64.738341","-0.822767142857143","-0.394592428571428","18.036207261752","50.0791002672345"
"5","44310","Bahrain","1081","170335","1031.71428571429","63.529377","3","620","4.57142857142857","0.176307","60.632901","0.478548142857142","1.33489757142857","15.5466325958557","50.909017405435"
"6","44317","Bahrain","1063","177997","1094.57142857143","62.471534","2","648","4","0.117538","64.3269574285714","-0.151120428571428","-1.23415057142857","10.4291483780456","49.5860057467631"
"7","44324","Bahrain","1502","187905","1415.42857142857","88.271161","4","678","4.28571428571429","0.235076","83.1834372857143","3.685661","-0.713624571428571","12.8585425025436","52.6070306404262"
"8","44282","Djibouti","80","7249","104.428571428571","8.097166","0","66","0.428571428571429","0","10.5696934285714","0.910931142857143","-0.592828285714286","2.65717653974883","3.00603440564034"
"9","44289","Djibouti","78","8509","180","7.894737","0","72","0.857142857142857","0","18.2186232857143","-0.0289184285714286","-1.44592242857143","5.01999514192439","8.26094412326995"
"10","44296","Djibouti","60","9722","173.285714285714","6.072874","0","94","3.14285714285714","0","17.5390398571429","-0.260266142857143","0.722961142857142","4.89668312853742","14.2391101485838"
"11","44303","Djibouti","27","10412","98.5714285714286","2.732794","4","114","2.85714285714286","0.404858","9.97686542857143","-0.477154285714286","0.578369142857143","2.87595606032844","13.7079688464762"
"12","44310","Djibouti","8","10746","47.7142857142857","0.809717","0","132","2.57142857142857","0","4.82938142857143","-0.274725285714286","0.722961142857143","1.33696484605412","7.81175544311626"
"13","44317","Djibouti","21","11121","53.5714285714286","2.125506","2","145","1.85714285714286","0.202429","5.42220942857143","0.187969857142857","-0.289184571428572","0.846623580461139","3.94950153004313"
"14","44324","Djibouti","16","11335","30.5714285714286","1.619433","1","149","0.571428571428571","0.101215","3.094274","-0.0722961428571429","0.824175857142857","0.512183845531427","4.43432036816605"
"15","44282","Egypt","683","199364","656.142857142857","0.66742","41","11845","41.1428571428571","0.040065","0.641175285714286","0.00544442857142857","0.00195457142857144","0.174892917873431","0.489993930300409"
"16","44289","Egypt","710","204256","698.857142857143","0.693804","39","12123","39.7142857142857","0.03811","0.682915142857143","0.00376914285714285","-0.000837571428571438","0.186836653070275","0.50112269048311"
"17","44296","Egypt","801","209677","774.428571428571","0.782728","43","12405","40.2857142857143","0.042019","0.756763","0.0127034285714286","-1.42857142861251e-07","0.204694719560474","0.533745266520967"
"18","44303","Egypt","845","215484","829.571428571429","0.825724","41","12694","41.2857142857143","0.040065","0.810647714285714","0.00614228571428572","-0.000418857142857134","0.221323694244173","0.591462458188164"
"19","44310","Egypt","912","221570","869.428571428571","0.891196","39","12998","43.4285714285714","0.03811","0.849595571428571","0.00935314285714285","0.00335042857142856","0.217166177101927","0.637851729309018"
