"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","44268","Australia","5","29117","11.8571428571429","0.0196079323341236","0","909","0","0","0.0464988109637787","-4.95635278850516e-19","-0.00112045327623563","0.0102358412474348","-0.0104035962167428"
"2","44275","Australia","4","29196","11.2857142857143","0.0156863458672988","0","909","0","0","0.0442579044113075","-0.000560226638117815","0","0.00986587108186489","-0.0134921638435883"
"3","44282","Australia","7","29259","9","0.027451105267773","0","909","0","0","0.0352942782014224","0.00168067991435345","-0.000560226638117815","0.00739940331139867","-0.0128419390800419"
"4","44289","Australia","7","29348","12.7142857142857","0.027451105267773","0","909","0","0","0.0498601707924856","0","0.00280113319058908","0.0109757815785747","-0.0102410400258562"
"5","44296","Australia","9","29405","8.14285714285714","0.0352942782014224","0","909","0","0","0.0319329183727155","0.00112045327623563","0.00224090655247126","0.00517742698878421","-0.0137264946077553"
"6","44303","Australia","20","29519","16.2857142857143","0.0784317293364942","0","910","0.142857142857143","0","0.063865836745431","0.00616249301929598","0.00112045327623563","-0.0148563603387296","-0.00323179377686465"
"7","44310","Australia","10","29663","20.5714285714286","0.0392158646682471","0","910","0","0","0.0806726358889655","-0.00560226638117816","-0.00560226638117816","-0.0222124222540229","-0.0064635875537293"
"8","44268","Brunei","0","192","0.428571428571429","0","0","3","0","0","0.0979638859399945","-0.0326546286466648","-0.0326546286466648","0.0287532165139937","-0.0284253462069516"
"9","44275","Brunei","2","205","1.85714285714286","0.457164801053308","0","3","0","0","0.424510172406643","0.0653092572933297","0.0653092572933297","0.0790713454134828","-0.0284253462069516"
"10","44282","Brunei","0","206","0.142857142857143","0","0","3","0","0","0.0326546286466648","-0.0653092572933297","-0.0653092572933297","0.0215649123854953","-0.123176500230124"
"11","44289","Brunei","1","214","1.14285714285714","0.228582400526654","0","3","0","0","0.261237029173319","0.0326546286466648","0.0326546286466648","0.050318128899489","-0.0094751154023172"
"12","44296","Brunei","0","219","0.714285714285714","0","0","3","0","0","0.163273143233324","-0.0326546286466648","-0.130618514586659","-0.00365696724446435","-0.0696306427960476"
"13","44303","Brunei","0","221","0.285714285714286","0","0","3","0","0","0.0653092572933297","0","0.0979638859399945","-0.0168145864199731","-0.0165241748991361"
"14","44310","Brunei","0","223","0.285714285714286","0","0","3","0","0","0.0653092572933297","0","0","-0.0168145864199731","-0.00660966995965444"
"15","44268","Cambodia","41","1305","45.4285714285714","0.245230491241533","0","1","0.142857142857143","0","0.271718802142187","0.00598123149369593","-0.00939907806152219","0.0584971428356692","-0.0451235976639965"
