"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","44254","Albania","986","106215","1021.85714285714","34.2623194061291","19","1775","17.4285714285714","0.660227250219526","35.5083121866185","-0.829007148771885","-0.0595693759596563","5.99503668791228","31.3511692804553"
"2","44261","Albania","777","112078","837.571428571429","26.9998196537143","21","1918","20.4285714285714","0.729724855505791","29.1046042709555","-1.03749996463068","-0.362380370421244","4.97293207226821","31.6968076131586"
"3","44268","Albania","698","116821","677.571428571429","24.2546642449068","12","2030","16","0.416985631717595","23.5447958480542","-0.392165058401072","0.0992822932660938","3.94918946845806","25.9804813415279"
"4","44275","Albania","519","120541","531.428571428571","18.034628571786","11","2133","14.7142857142857","0.382236829074462","18.4665065474935","-0.888576524731542","0.0397129173064375","3.19325792980464","21.0174693847632"
"5","44282","Albania","425","123641","442.857142857143","14.7682411233315","12","2204","10.1428571428571","0.416985631717595","15.3887554562446","-0.466626778350642","-0.24324161850193","1.95396529004795","15.992666663977"
"6","44289","Albania","341","126183","363.142857142857","11.8493417013083","9","2256","7.42857142857143","0.312739223788196","12.6187794741206","-0.416985631717595","0.143959325235837","-1.72048892373203","10.8004313053205"
"7","44296","Albania","360","128155","281.714285714286","12.5095689515279","6","2310","7.71428571428571","0.208492815858798","9.78923411603688","0.0943181786027894","0.342523911768025","-1.27955630923407","8.85635367036283"
"8","44254","Andorra","27","10849","25.2857142857143","34.944670937682","0","110","0.428571428571429","0","32.7259616717974","0","2.21870926588457","5.39922439128733","34.4945855671757"
"9","44261","Andorra","21","11019","24.2857142857143","27.179188507086","0","112","0.285714285714286","0","31.4317146000314","-1.10935463294229","-0.924462194118572","5.36872029868118","29.2131179205268"
"10","44268","Andorra","29","11228","29.8571428571429","37.533165081214","0","112","0","0","38.6425197141563","1.47913951058971","-7.21080511412486","6.13132261383476","28.0577968728223"
"11","44275","Andorra","50","11481","36.1428571428571","64.7123535883","0","113","0.142857142857143","0","46.7777870223997","3.882741215298","9.61440681883314","7.0769494846252","34.4945855671757"
"12","44282","Andorra","77","11809","46.8571428571429","99.657024525982","1","115","0.285714285714286","1.294247071766","60.6447199341783","4.99209584824029","3.69784877647429","6.71093474086126","39.9925481427027"
"13","44289","Andorra","59","12174","52.1428571428571","76.360577234194","1","117","0.285714285714286","1.294247071766","67.4857401706557","-3.32806389882686","-6.47123535883","-9.34616146882785","42.5628397008354"
"14","44296","Andorra","41","12497","46.1428571428571","53.064129942406","0","120","0.428571428571429","0","59.7202577400597","-3.32806389882686","-0.554677316471142","-8.32125603360391","47.364135642698"
"15","44254","Austria","2457","457317","1968.71428571429","27.2806065199428","23","8538","24.2857142857143","0.255374013007198","21.8590638090198","0.919980916423445","0.483783068119226","3.45459082971187","15.9049415835067"
"16","44261","Austria","2557","472871","2222","28.3909283156263","25","8694","22.2857142857143","0.277580448920867","24.6713503000867","0.158617399383353","-0.753432647070925","4.044182007603","19.5126858330193"
"17","44268","Austria","3023","491065","2599.14285714286","33.5650278835113","25","8856","23.1428571428571","0.277580448920867","28.8588496438072","0.739157081126424","0.0126893919506687","4.63926870912295","22.0230981385083"
"18","44275","Austria","3344","511440","2910.71428571429","37.1291608476552","28","9052","28","0.310890102791371","32.3182951243581","0.509161852020561","-0.10785983158068","5.24796337391424","25.7611063091179"
"19","44282","Austria","3498","533786","3192.28571428571","38.8390564130077","31","9231","25.5714285714286","0.344199756661875","35.444644066204","0.244270795050364","-0.358475322606377","3.97276572007689","27.83707176671"
"20","44289","Austria","3283","556012","3175.14285714286","36.4518645522883","37","9434","29","0.410819064402883","35.254303186944","-0.341027408674209","0.861292478651604","-4.69794994993532","24.876439453928"
"21","44296","Austria","3139","574755","2677.57142857143","34.8530011665041","38","9662","32.5714285714286","0.421922282359718","29.7296591664218","-0.228409055112027","0.461576632205557","-3.95393167436516","24.7428507698471"
"22","44254","Belarus","1459","285959","1281.28571428571","15.4402595826177","9","1966","9","0.0952449186042217","13.5595503962105","-0.315971237909243","-0.223749967514679","2.28922393786632","13.4427988447964"
"23","44261","Belarus","1329","294432","1210.42857142857","14.0644996472234","9","2029","9","0.0952449186042217","12.8096856402154","-0.196537133627759","-0.0151182410482892","2.14580448218174","12.1040520870374"
"24","44268","Belarus","1182","301328","985.142857142857","12.5088326433545","9","2087","8.28571428571429","0.0952449186042217","10.4255390269002","-0.222238143409851","0.225261791619508","1.75670126328095","11.4346787081578"
"25","44275","Belarus","1355","309293","1137.85714285714","14.3396516343023","9","2148","8.71428571428571","0.0952449186042217","12.0416789949623","0.261545570135402","-0.0831503257655903","1.94352069338139","9.30644923538963"
"26","44282","Belarus","1213","317631","1191.14285714286","12.8368984741023","9","2211","9","0.0952449186042217","12.6055893860635","-0.214679022885706","-0.231309088038824","1.47535860382104","10.3582126442219"
"27","44289","Belarus","1371","326065","1204.85714285714","14.5089759340431","9","2276","9.28571428571429","0.0952449186042217","12.7507245001271","0.238868208562969","-0.102804039128366","-1.65134228717593","8.84709634995271"
"28","44296","Belarus","1433","334863","1256.85714285714","15.1651075955389","10","2344","9.71428571428571","0.105827687338024","13.3010284742848","0.093733094499393","0.137575993539431","-1.74312786621181","8.94895785745996"
"29","44254","Belgium","2760","769414","2433.57142857143","23.8144070777798","18","22052","23.5714285714286","0.15531135050726","20.9978480626283","0.147915571911676","0.971312255553339","3.43988253697629","16.7952511580094"
"30","44261","Belgium","2799","785809","2342.14285714286","24.1509150038789","25","22240","26.8571428571429","0.215710209037861","20.2089650124327","0.0480725608712948","0.0603988585306011","3.32620270616519","18.7439140118377"
"31","44268","Belgium","3598","805321","2787.42857142857","31.0450132847289","24","22421","25.8571428571429","0.207081800676346","24.0510719928385","0.984871182978577","-0.0702598966580459","3.80552893375332","18.0397106089861"
"32","44275","Belgium","0","827941","3231.42857142857","0","0","22650","32.7142857142857","0","27.8820853053509","-4.43500189781842","-6.31476229086263","5.3317670916018","21.4694012444366"
"33","44282","Belgium","5332","866063","5446","46.006673383595","18","22870","31.4285714285714","0.15531135050726","46.9903119368076","6.57238191194214","5.36070685203232","4.42695562092005","24.8891890195344"
