"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","44303","Australia","20","29519","16.2857142857143","0.078432","0","910","0.142857142857143","0","0.0638658571428572","0.00616257142857143","0.00112057142857143","0.0187230407336974","0.0140254256254277"
"2","44310","Australia","10","29663","20.5714285714286","0.039216","0","910","0","0","0.0806727142857143","-0.00560228571428571","-0.00560228571428571","0.0279937324071623","0.0280507885059761"
"3","44317","Australia","13","29824","23","0.050981","0","910","0","0","0.0901965714285714","0.00168071428571429","0.00280114285714286","0.0287208254841814","0.0354325980714516"
"4","44324","Australia","16","29922","14","0.062745","0","910","0","0","0.0549021428571429","0.00168057142857143","0.00168057142857143","0.0172688545796593","0.0396156109429119"
"5","44331","Australia","11","29975","7.57142857142857","0.043137","0","910","0","0","0.0296918571428571","-0.00280114285714286","0.000560285714285717","0.0123127736143883","0.0237783878469283"
"6","44338","Australia","4","30007","4.57142857142857","0.015686","0","910","0","0","0.0179271428571429","-0.00392157142857143","-0.00224085714285714","0.0169492270836598","0.011930035808798"
"7","44345","Australia","13","30096","12.7142857142857","0.050981","0","910","0","0","0.0498601428571429","0.00504214285714286","0.002241","0.0347677419138638","0.00720303399030066"
"8","44303","Brunei","0","221","0.285714285714286","0","0","3","0","0","0.0653092857142857","0","0.0979638571428571","0.021190966884829","0.0717118127999392"
"9","44310","Brunei","0","223","0.285714285714286","0","0","3","0","0","0.0653092857142857","0","0","0.021190966884829","0.0286847627669033"
"10","44317","Brunei","3","227","0.571428571428571","0.685747","0","3","0","0","0.130618428571429","0.0979638571428571","0.0979638571428571","0.0105954602659171","0.0286847627669033"
"11","44324","Brunei","1","230","0.428571428571429","0.228582","0","3","0","0","0.0979637142857143","-0.0653092857142857","-0.0979638571428571","0.0529773476825802","0.0573694627889272"
"12","44331","Brunei","0","232","0.285714285714286","0","0","3","0","0","0.0653091428571429","-0.0326545714285714","0","0.0317863807977512","0.0418051392249158"
"13","44338","Brunei","0","235","0.428571428571429","0","0","3","0","0","0.0979638571428571","0","0","0.075995852158273","0.0262408784057838"
"14","44345","Brunei","0","241","0.857142857142857","0","0","3","0","0","0.195927714285714","-1.58603289232165e-17","7.93016446160826e-18","0.151991704316546","0.0393613750079425"
"15","44303","Cambodia","291","5771","241.428571428571","1.740538","1","39","1.85714285714286","0.005981","1.44404014285714","-0.158929857142857","0.109371","0.52011722094128","0.52240595959255"
"16","44310","Cambodia","511","9359","512.571428571429","3.056409","10","71","4.57142857142857","0.059812","3.06580828571429","0.187981571428571","-0.147821857142857","0.933771207811039","0.634242871755703"
"17","44317","Cambodia","388","13790","633","2.320718","3","96","3.57142857142857","0.017944","3.78611971428571","-0.105098714285714","-0.195671571428571","1.26258739411472","1.34654639692812"
"18","44324","Cambodia","538","18717","703.857142857143","3.217903","0","114","2.57142857142857","0","4.20993257142857","0.128169285714286","0.301625","1.32441366757074","1.66291737267654"
"19","44331","Cambodia","335","21834","445.285714285714","2.003713","0","147","4.71428571428571","0","2.66335685714286","-0.173455714285714","-0.00256342857142863","1.0585095593328","1.83186031612347"
"20","44338","Cambodia","488","24645","401.571428571429","2.918841","2","167","2.85714285714286","0.011962","2.40189157142857","0.130732571428571","0.0435775714285715","1.76186063539982","1.07012311572318"
"21","44345","Cambodia","588","28825","597.142857142857","3.516964","7","203","5.14285714285714","0.041869","3.57164971428571","0.0854461428571429","-0.0333241428571429","2.7044362985992","0.965067705873907"
"22","44303","Fiji","4","72","0.571428571428571","0.446207","0","2","0","0","0.0637438571428571","0.0637438571428571","0.0796798571428571","0","0.00699931678097316"
"23","44310","Fiji","1","87","2.14285714285714","0.111552","0","2","0","0","0.239039571428571","-0.0478078571428571","-0.0478078571428571","0.093073661629802","0.0279972043790133"
"24","44317","Fiji","2","119","4.57142857142857","0.223103","0","2","0","0","0.509950714285714","0.0159358571428572","-1.42857142861251e-07","0.160293476859109","0.104989563479959"
"25","44324","Fiji","7","136","2.42857142857143","0.780862","0","3","0.142857142857143","0","0.270911285714286","0.0796798571428571","0.0956158571428571","0.0620490459492082","0.223977572287227"
"26","44331","Fiji","0","166","4.28571428571429","0","0","4","0.142857142857143","0","0.478079","-0.111551714285714","-0.127487714285714","0.198509692345481","0.114813885844391"
"27","44338","Fiji","29","224","8.28571428571429","3.235","0","4","0","0","0.924285714285714","0.462142857142857","0.398399","0.358509161151289","0.192089688495837"
"28","44345","Fiji","0","360","19.4285714285714","0","0","4","0","0","2.167291","-0.462142857142857","-1.11551728571429","2.03979378206788","0.371373256173761"
"29","44303","Indonesia","5041","1599763","5270.71428571429","1.842985","132","43328","126.428571428571","0.048259","1.92696857142857","0.0166085714285714","0.0114902857142857","0.619856350522707","0.810772891770103"
"30","44310","Indonesia","4544","1636792","5289.85714285714","1.661283","154","44500","167.428571428571","0.056302","1.93396728571429","-0.0259574285714286","-0.0297701428571429","0.635938661140519","0.846351873645073"
"31","44317","Indonesia","4512","1672880","5155.42857142857","1.649583","131","45652","164.571428571429","0.047893","1.88482014285714","-0.00167142857142858","-0.00501399999999998","0.612111738498273","0.849425808029186"
"32","44324","Indonesia","6130","1709762","5268.85714285714","2.241123","179","46842","170","0.065442","1.92628971428571","0.0845057142857143","0.0413127142857142","0.597605429704932","0.827839687187263"
"33","44331","Indonesia","2385","1736670","3844","0.871954","144","47967","160.714285714286","0.052646","1.40536314285714","-0.195595571428571","-0.00266371428571426","0.581523961650558","0.834073534741402"
"34","44338","Indonesia","5296","1769940","4752.85714285714","1.936213","132","49205","176.857142857143","0.048259","1.73764028571429","0.152037","-0.0105501428571429","1.23003806094624","0.564667697880391"
"35","44345","Indonesia","6565","1809926","5712.28571428571","2.400158","162","50262","151","0.059227","2.08840657142857","0.0662778571428571","0.0602194285714285","1.56867439990403","0.698174948493189"
"36","44303","Japan","4802","531107","3938.85714285714","3.796754","41","9593","34.4285714285714","0.032417","3.11430071428571","0.123794857142857","0.00734171428571427","0.970332317900998","1.03352355068657"
"37","44310","Japan","5622","563996","4698.42857142857","4.445096","56","9890","42.4285714285714","0.044277","3.714864","0.0926202857142858","0.0358057142857143","1.17531290931602","1.367844957988"
"38","44317","Japan","5989","599251","5036.42857142857","4.735268","82","10281","55.8571428571429","0.064834","3.98210742857143","0.0414531428571427","0.0787271428571427","1.27862789433118","1.63162085430679"
"39","44324","Japan","7249","635566","5187.85714285714","5.731501","84","10796","73.5714285714286","0.066416","4.10183614285714","0.142319","-0.011521","1.28474834376951","1.74899795108169"
"40","44331","Japan","6331","679868","6328.85714285714","5.005675","94","11424","89.7142857142857","0.074322","5.00398028571429","-0.103689428571429","-0.131023714285714","1.977809507393","1.77094611352637"
"41","44338","Japan","4985","715878","5144.28571428571","3.941445","84","12203","111.285714285714","0.066416","4.067386","-0.152032857142857","-0.035241","3.27323097531423","2.01057359625118"
"42","44345","Japan","3604","742537","3808.42857142857","2.849542","91","12877","96.2857142857143","0.07195","3.01117585714286","-0.155986142857143","0.0194277142857143","2.45693852950593","1.63425481925023"
"43","44303","Laos","4","58","1.28571428571429","0.054979","0","0","0","0","0.0176718571428571","0.00785414285714286","0.00589057142857143","0.00318556321720383","0"
"44","44310","Laos","88","247","27","1.209529","0","0","0","0","0.371105428571429","0.164935714285714","0.0392704285714286","0.066896085913363","0.00776172980992472"
